Step,Time (sec) 
All steps 0-10,642.8322546482086
Step 0: Parse Targets,0.4849202632904053
Step 1: Collecting the genomic contexts,133.39171314239502
Step 1a: Mapping,2.9067752361297607
Step 1b: Assemblies,125.44850516319275
Step 1c: Sequences,5.036412715911865
Step 2: Finding protein families,143.22741961479187
Step 3: Annotating functions and structures,10.604665756225586
Step 4-5: Finding operon/genomic_context,247.94814372062683
Step 6: Mapping taxonomy,22.675598859786987
Step 7: Finding ALL proteins with transmembrane segments,0.0018451213836669922
Step 8-9: Producing figures,83.60102415084839
Step 10: Write output,0.8902058601379395
