Step,Time (sec) 
All steps 0-10,733.3150885105133
Step 0: Parse Targets,0.49146008491516113
Step 1: Collecting the genomic contexts,214.3108229637146
Step 1a: Mapping,3.3582706451416016
Step 1b: Assemblies,203.88259530067444
Step 1c: Sequences,7.069933891296387
Step 2: Finding protein families,148.54097986221313
Step 3: Annotating functions and structures,17.18532967567444
Step 4-5: Finding operon/genomic_context,247.88617634773254
Step 6: Mapping taxonomy,22.212537050247192
Step 7: Finding ALL proteins with transmembrane segments,0.0021300315856933594
Step 8-9: Producing figures,81.78882074356079
Step 10: Write output,0.8917772769927979
