Step,Time (sec) 
All steps 0-10,84.6041693687439
Step 0: Parse Targets,0.009358882904052734
Step 1: Collecting the genomic contexts,12.774653673171997
Step 1a: Mapping,8.705390453338623
Step 1b: Assemblies,3.3895719051361084
Step 1c: Sequences,0.6796669960021973
Step 2: Finding protein families,14.811020612716675
Step 3: Annotating functions and structures,1.5051441192626953
Step 4-5: Finding operon/genomic_context,1.9207100868225098
Step 6: Mapping taxonomy,28.72980785369873
Step 7: Finding ALL proteins with transmembrane segments,0.0010962486267089844
Step 8-9: Producing figures,24.71314001083374
Step 10: Write output,0.1310875415802002
