Step,Time (sec) 
All steps 0-10,106.41161179542542
Step 0: Parse Targets,0.009188175201416016
Step 1: Collecting the genomic contexts,13.955190658569336
Step 1a: Mapping,9.756337642669678
Step 1b: Assemblies,1.33394455909729
Step 1c: Sequences,2.864882469177246
Step 2: Finding protein families,30.47059726715088
Step 3: Annotating functions and structures,3.830275297164917
Step 4-5: Finding operon/genomic_context,1.9321317672729492
Step 6: Mapping taxonomy,28.87882971763611
Step 7: Finding ALL proteins with transmembrane segments,0.0024983882904052734
Step 8-9: Producing figures,27.196067094802856
Step 10: Write output,0.13115811347961426
