Step,Time (sec) 
All steps 0-10,794.6392724514008
Step 0: Parse Targets,0.4869067668914795
Step 1: Collecting the genomic contexts,150.0478229522705
Step 1a: Mapping,2.7157716751098633
Step 1b: Assemblies,142.36403703689575
Step 1c: Sequences,4.967994689941406
Step 2: Finding protein families,143.57577085494995
Step 3: Annotating functions and structures,142.6641809940338
Step 4-5: Finding operon/genomic_context,253.6234712600708
Step 6: Mapping taxonomy,23.08860683441162
Step 7: Finding ALL proteins with transmembrane segments,0.0011072158813476562
Step 8-9: Producing figures,80.24223256111145
Step 10: Write output,0.9033389091491699
