Step,Time (sec) 
All steps 0-10,721.3477566242218
Step 0: Parse Targets,0.48540186882019043
Step 1: Collecting the genomic contexts,149.334468126297
Step 1a: Mapping,2.747312307357788
Step 1b: Assemblies,141.5900902748108
Step 1c: Sequences,4.997043609619141
Step 2: Finding protein families,209.385639667511
Step 3: Annotating functions and structures,10.642475128173828
Step 4-5: Finding operon/genomic_context,244.31748008728027
Step 6: Mapping taxonomy,22.664604902267456
Step 7: Finding ALL proteins with transmembrane segments,0.001999378204345703
Step 8-9: Producing figures,83.61290860176086
Step 10: Write output,0.8970022201538086
