Step,Time (sec) 
All steps 0-10,909.7899677753448
Step 0: Parse Targets,0.7227325439453125
Step 1: Collecting the genomic contexts,230.79899668693542
Step 1a: Mapping,8.510635614395142
Step 1b: Assemblies,217.04888820648193
Step 1c: Sequences,5.239446640014648
Step 2: Finding protein families,226.07620215415955
Step 3: Annotating functions and structures,9.956945419311523
Step 4-5: Finding operon/genomic_context,306.72741436958313
Step 6: Mapping taxonomy,29.626387357711792
Step 7: Finding ALL proteins with transmembrane segments,0.0010426044464111328
Step 8-9: Producing figures,104.73140144348145
Step 10: Write output,1.133798360824585
